docId	title	知识点标签
591	[ABC096A] Day of Takahashi 统计指定日期范围内的高桥日	循环结构, 数学基础
592	[ABC096B] Maximum Sum 最大化黑板数字和	贪心
593	[ABC096C] Grid Repainting 2 网格图相邻黑格判断	模拟, 暴力枚举
594	[ABC097A] Colorful Transceivers A和C的通信判断	条件结构, 数学基础
595	[ABC097B] Exponential 不大于X的最大完全幂	暴力枚举, 数学函数, 数论基础
596	[ABC098A] Add Sub Mul 求和差积最大值	数学基础, 条件结构
597	[ABC098B] Cut and Count 字符串分割最大共同字符数	暴力枚举, 模拟, STL
1	[ABC099A] ABD 比赛标签前缀判断	条件结构
2	[ABC099B] Stone Monument  计算积雪深度	数学基础
3	[ABC099C] Strange Bank 奇怪的银行取款	DP, 线性DP
4	[ABC099D] Good Grid 好网格	贪心, 暴力枚举
5	[ABC100A] Happy Birthday! 生日蛋糕分配	模拟, 数学函数, 暴力枚举
6	[ABC100B] Favorite Numbers 喜爱数字	数学函数, 模拟, 暴力枚举
7	[ABC100C] *3 or /2 乘3或除以2的最大操作次数 数列乘3或除2的最大操作次数	贪心, 数学基础, 模拟
8	[ABC100D] Patisserie ABC 蛋糕选择最大绝对值和 蛋糕选择最大化绝对值和	贪心, 排序, 暴力枚举
9	[ABC101A] Eating Symbols Easy 加减符号序列求和 加减符号计算	循环结构, 条件结构
10	[ABC101B] Digit Sums 数位和判断	循环结构, 数学基础
11	[ABC102A] Multiple of 2 and N 2和N的最小公倍数	数学基础, 条件结构
12	[ABC102B] Maximum Difference 最大差值	循环结构, 数学基础, 一维数组
13	[ABC103A] Task Scheduling Problem 任务调度	暴力枚举, 模拟, 数学函数
14	[ABC103B] String Rotation 字符串循环移位判断	字符串, 模拟
15	[ABC103C] Modulo Summation 取模求和最大值	数论基础, DFS, 数学基础
16	[ABC103D] Islands War 岛屿战争	贪心, 排序, 前缀和
17	[ABC104A] Rated for Me 比赛等级	条件结构
18	[ABC104B] AcCepted 字符串格式判断	字符串, 模拟
19	[ABC104C] All Green 全绿目标	贪心, 暴力枚举, DFS, 位运算, DP
20	[ABC104D] We Love ABC 子序列计数	DP, 线性DP
21	[ABC105A] AtCoder Crackers 公平分饼干的最小差值 饼干公平分配最小差值	数学基础, 条件结构
22	[ABC105B] Cakes and Donuts 蛋糕甜甜圈购买方案	暴力枚举
23	[ABC105C] Base -2 Number 负二进制数转换	数论基础, 递归
24	[ABC105D] Candy Distribution 前缀和取模计数	前缀和, 数论基础, STL
25	[ABC106A] Garden 花园道路分割面积	数学基础
26	[ABC106B] 105 统计N以内八因数奇数	暴力枚举, 数学基础, 数论基础
27	[ABC106C] To Infinity 字符串指数增长取K位字符	递归, 数学基础
28	[ABC106D] AtCoder Express 2 区间列车统计与二维前缀和	二维DP, 前缀和
29	[ABC107A] Train 火车车厢从尾部开始的编号	数学基础
