level,topic,chapter_id,file,title,suggested_3,reason
Level10_GESP 十级 (NOI 竞赛提高),字符串高级,10-1-1,01_后缀数组（SA）的构造与 LCP 数组.md,后缀数组（SA）的构造与 LCP 数组,"Level10:1, Level10:2, Level10:3",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),字符串高级,10-1-2,02_后缀自动机（SAM）.md,后缀自动机（SAM）,"Level10:4, Level10:5, Level10:6",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),字符串高级,10-1-3,03_广义 SAM（多串共用）.md,广义 SAM（多串共用）,"Level10:7, Level10:8, Level10:9",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),字符串高级,10-1-4,04_字符串高级综合例题.md,字符串高级综合例题,"Level10:10, Level10:11, Level10:12",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),可持久化数据结构,10-2-1,01_主席树（可持久化线段树）原理.md,主席树（可持久化线段树）原理,"Level10:13, Level10:14, Level10:15",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),可持久化数据结构,10-2-2,02_主席树区间第 k 小.md,主席树区间第 k 小,"Level10:16, Level10:17, Level10:18",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),可持久化数据结构,10-2-3,03_可持久化并查集.md,可持久化并查集,"Level10:19, Level10:20, Level10:21",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),可持久化数据结构,10-2-4,04_可持久化数据结构综合例题.md,可持久化数据结构综合例题,"Level10:22, Level10:23, Level10:24",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级数据结构,10-3-1,01_左偏树（可合并堆）.md,左偏树（可合并堆）,"Level10:25, Level10:26, Level10:27",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级数据结构,10-3-2,02_线段树合并（动态开点）.md,线段树合并（动态开点）,"Level10:28, Level10:29, Level10:30",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级数据结构,10-3-3,03_线段树分裂.md,线段树分裂,"Level10:31, Level10:32, Level10:33",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级数据结构,10-3-4,04_树套树（线段树套线段树）.md,树套树（线段树套线段树）,"Level10:34, Level10:35, Level10:36",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),LCT 动态树,10-4-1,01_LCT 基本原理与 Access_makeRoot.md,LCT 基本原理与 Access/makeRoot,"Level10:37, Level10:38, Level10:39",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),LCT 动态树,10-4-2,02_LCT 实现链接_断开.md,LCT 实现链接/断开,"Level10:40, Level10:41, Level10:42",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),LCT 动态树,10-4-3,03_LCT 综合例题.md,LCT 综合例题,"Level10:43, Level10:44, Level10:45",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),树上高级算法,10-5-1,01_点分治（树上路径统计）.md,点分治（树上路径统计）,"Level10:46, Level10:47, Level10:48",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),树上高级算法,10-5-2,02_树上启发式合并（DSU on Tree）.md,树上启发式合并（DSU on Tree）,"Level10:49, Level10:50, Level10:51",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),树上高级算法,10-5-3,03_虚树（关键点构造）.md,虚树（关键点构造）,"Level10:52, Level10:53, Level10:54",专题内无相邻题号，从全局末尾分配
